transaction_id,date,time,merchant_name,category,type,amount,payment_mode,upi_id,remarks
TXN00018,2025-02-28,13:37,Swiggy,Food,Debit,84,UPI,karthik@upi,Auto generated transaction
TXN00019,2025-02-28,12:59,Uber,Travel,Debit,1415,UPI,karthik@upi,Auto generated transaction
TXN00020,2025-02-28,7:08,Amazon,Shopping,Debit,211,UPI,karthik@upi,Auto generated transaction
TXN00021,2025-03-01,22:46,HP Petrol Pump,Fuel,Debit,1339,UPI,karthik@upi,Auto generated transaction
TXN00022,2025-03-01,8:28,Swiggy,Food,Debit,1611,UPI,karthik@upi,Auto generated transaction
TXN00023,2025-03-01,11:11,Uber,Travel,Debit,1686,UPI,karthik@upi,Auto generated transaction
TXN00024,2025-03-02,17:41,Ola,Travel,Debit,749,UPI,karthik@upi,Auto generated transaction
TXN00025,2025-03-02,8:38,Flipkart,Shopping,Debit,1860,UPI,karthik@upi,Auto generated transaction
TXN00026,2025-03-02,21:46,HP Petrol Pump,Fuel,Debit,648,UPI,karthik@upi,Auto generated transaction
TXN00027,2025-03-02,17:45,HP Petrol Pump,Fuel,Debit,197,UPI,karthik@upi,Auto generated transaction
TXN00028,2025-03-03,13:59,Swiggy,Food,Debit,935,UPI,karthik@upi,Auto generated transaction
TXN00029,2025-03-03,16:09,Amazon,Shopping,Debit,2313,UPI,karthik@upi,Auto generated transaction
TXN00030,2025-03-03,14:34,Cafe Coffee Day,Food,Debit,1844,UPI,karthik@upi,Auto generated transaction
TXN00031,2025-03-03,17:59,Hyderabad Metro,Travel,Debit,440,UPI,karthik@upi,Auto generated transaction
TXN00032,2025-03-04,14:19,DMart,Grocery,Debit,733,UPI,karthik@upi,Auto generated transaction
TXN00033,2025-03-04,8:25,Blinkit,Grocery,Debit,2079,UPI,karthik@upi,Auto generated transaction
TXN00034,2025-03-04,17:46,Hyderabad Metro,Travel,Debit,2379,UPI,karthik@upi,Auto generated transaction
TXN00035,2025-03-05,10:46,Inox Movies,Entertainment,Debit,869,UPI,karthik@upi,Auto generated transaction
TXN00036,2025-03-05,8:47,Cafe Coffee Day,Food,Debit,2426,UPI,karthik@upi,Auto generated transaction
TXN00037,2025-03-05,8:10,Inox Movies,Entertainment,Debit,1386,UPI,karthik@upi,Auto generated transaction
TXN00038,2025-03-05,15:44,Google Pay Rewards,Credit,Credit,62,UPI,karthik@upi,Auto generated transaction
TXN00039,2025-03-06,22:57,DMart,Grocery,Debit,279,UPI,karthik@upi,Auto generated transaction
TXN00040,2025-03-06,17:15,Blinkit,Grocery,Debit,325,UPI,karthik@upi,Auto generated transaction
TXN00041,2025-03-06,17:47,Blinkit,Grocery,Debit,789,UPI,karthik@upi,Auto generated transaction
TXN00042,2025-03-06,15:17,HP Petrol Pump,Fuel,Debit,804,UPI,karthik@upi,Auto generated transaction
TXN00043,2025-03-07,20:38,Google Pay Rewards,Credit,Credit,56,UPI,karthik@upi,Auto generated transaction
TXN00044,2025-03-07,15:43,Blinkit,Grocery,Debit,379,UPI,karthik@upi,Auto generated transaction
TXN00045,2025-03-07,15:39,Ola,Travel,Debit,1069,UPI,karthik@upi,Auto generated transaction
TXN00046,2025-03-07,12:52,Swiggy,Food,Debit,223,UPI,karthik@upi,Auto generated transaction
TXN00047,2025-03-08,14:09,Blinkit,Grocery,Debit,2187,UPI,karthik@upi,Auto generated transaction
TXN00048,2025-03-08,17:11,Inox Movies,Entertainment,Debit,611,UPI,karthik@upi,Auto generated transaction
TXN00049,2025-03-08,21:48,Cafe Coffee Day,Food,Debit,544,UPI,karthik@upi,Auto generated transaction
TXN00050,2025-03-09,11:16,Swiggy,Food,Debit,1066,UPI,karthik@upi,Auto generated transaction
TXN00051,2025-03-09,9:56,Hyderabad Metro,Travel,Debit,1851,UPI,karthik@upi,Auto generated transaction
TXN00052,2025-03-10,10:58,Amazon,Shopping,Debit,1128,UPI,karthik@upi,Auto generated transaction
TXN00053,2025-03-10,7:07,Inox Movies,Entertainment,Debit,2450,UPI,karthik@upi,Auto generated transaction
TXN00054,2025-03-10,18:40,Google Pay Rewards,Credit,Credit,28,UPI,karthik@upi,Auto generated transaction
TXN00055,2025-03-11,10:42,DMart,Grocery,Debit,388,UPI,karthik@upi,Auto generated transaction
TXN00056,2025-03-11,20:54,Hyderabad Metro,Travel,Debit,1287,UPI,karthik@upi,Auto generated transaction
TXN00057,2025-03-12,16:32,Cafe Coffee Day,Food,Debit,749,UPI,karthik@upi,Auto generated transaction
TXN00058,2025-03-12,9:35,DMart,Grocery,Debit,1581,UPI,karthik@upi,Auto generated transaction
TXN00059,2025-03-12,8:38,Uber,Travel,Debit,1243,UPI,karthik@upi,Auto generated transaction
TXN00060,2025-03-12,19:19,Zomato,Food,Debit,1605,UPI,karthik@upi,Auto generated transaction
TXN00061,2025-03-13,18:26,Inox Movies,Entertainment,Debit,435,UPI,karthik@upi,Auto generated transaction
TXN00062,2025-03-13,23:42,Cafe Coffee Day,Food,Debit,2418,UPI,karthik@upi,Auto generated transaction
TXN00063,2025-03-13,22:14,HP Petrol Pump,Fuel,Debit,2125,UPI,karthik@upi,Auto generated transaction
TXN00064,2025-03-14,8:29,DMart,Grocery,Debit,2156,UPI,karthik@upi,Auto generated transaction
TXN00065,2025-03-14,13:24,Zomato,Food,Debit,2201,UPI,karthik@upi,Auto generated transaction
TXN00066,2025-03-14,22:34,Blinkit,Grocery,Debit,2259,UPI,karthik@upi,Auto generated transaction
TXN00067,2025-03-15,18:15,Cafe Coffee Day,Food,Debit,1256,UPI,karthik@upi,Auto generated transaction
TXN00068,2025-03-15,23:11,DMart,Grocery,Debit,2097,UPI,karthik@upi,Auto generated transaction
TXN00069,2025-03-16,23:05,Hyderabad Metro,Travel,Debit,1107,UPI,karthik@upi,Auto generated transaction
TXN00070,2025-03-16,13:31,Cafe Coffee Day,Food,Debit,1319,UPI,karthik@upi,Auto generated transaction
TXN00071,2025-03-16,16:21,Google Pay Rewards,Credit,Credit,27,UPI,karthik@upi,Auto generated transaction
TXN00072,2025-03-17,8:01,Blinkit,Grocery,Debit,301,UPI,karthik@upi,Auto generated transaction
TXN00073,2025-03-17,12:46,DMart,Grocery,Debit,1383,UPI,karthik@upi,Auto generated transaction
TXN00074,2025-03-17,7:52,Blinkit,Grocery,Debit,1417,UPI,karthik@upi,Auto generated transaction
TXN00075,2025-03-18,21:46,Flipkart,Shopping,Debit,747,UPI,karthik@upi,Auto generated transaction
TXN00076,2025-03-18,11:10,Uber,Travel,Debit,213,UPI,karthik@upi,Auto generated transaction
TXN00077,2025-03-18,21:52,Swiggy,Food,Debit,1857,UPI,karthik@upi,Auto generated transaction
TXN00078,2025-03-18,7:38,DMart,Grocery,Debit,937,UPI,karthik@upi,Auto generated transaction
TXN00079,2025-03-19,12:22,Hyderabad Metro,Travel,Debit,278,UPI,karthik@upi,Auto generated transaction
TXN00080,2025-03-19,15:12,Flipkart,Shopping,Debit,411,UPI,karthik@upi,Auto generated transaction
TXN00081,2025-03-20,19:56,Hyderabad Metro,Travel,Debit,1751,UPI,karthik@upi,Auto generated transaction
TXN00082,2025-03-20,7:04,Uber,Travel,Debit,2471,UPI,karthik@upi,Auto generated transaction
TXN00083,2025-03-20,14:49,HP Petrol Pump,Fuel,Debit,1975,UPI,karthik@upi,Auto generated transaction
TXN00084,2025-03-20,15:40,Hyderabad Metro,Travel,Debit,1286,UPI,karthik@upi,Auto generated transaction
TXN00085,2025-03-21,12:28,Flipkart,Shopping,Debit,2271,UPI,karthik@upi,Auto generated transaction
TXN00086,2025-03-21,11:20,Swiggy,Food,Debit,111,UPI,karthik@upi,Auto generated transaction
TXN00087,2025-03-22,10:48,Uber,Travel,Debit,1806,UPI,karthik@upi,Auto generated transaction
TXN00088,2025-03-22,13:15,Uber,Travel,Debit,472,UPI,karthik@upi,Auto generated transaction
TXN00089,2025-03-22,9:57,Swiggy,Food,Debit,343,UPI,karthik@upi,Auto generated transaction
TXN00090,2025-03-23,22:13,DMart,Grocery,Debit,590,UPI,karthik@upi,Auto generated transaction
TXN00091,2025-03-23,11:01,Zomato,Food,Debit,914,UPI,karthik@upi,Auto generated transaction
TXN00092,2025-03-24,15:49,Google Pay Rewards,Credit,Credit,37,UPI,karthik@upi,Auto generated transaction
TXN00093,2025-03-24,16:34,Inox Movies,Entertainment,Debit,381,UPI,karthik@upi,Auto generated transaction
TXN00094,2025-03-24,20:37,Swiggy,Food,Debit,680,UPI,karthik@upi,Auto generated transaction
TXN00095,2025-03-25,11:46,Hyderabad Metro,Travel,Debit,2220,UPI,karthik@upi,Auto generated transaction
TXN00096,2025-03-25,7:16,Google Pay Rewards,Credit,Credit,47,UPI,karthik@upi,Auto generated transaction
TXN00097,2025-03-26,7:42,Swiggy,Food,Debit,81,UPI,karthik@upi,Auto generated transaction
TXN00098,2025-03-26,9:49,Cafe Coffee Day,Food,Debit,453,UPI,karthik@upi,Auto generated transaction
TXN00099,2025-03-26,19:37,Cafe Coffee Day,Food,Debit,964,UPI,karthik@upi,Auto generated transaction
TXN00100,2025-03-27,9:58,Flipkart,Shopping,Debit,1471,UPI,karthik@upi,Auto generated transaction
TXN00101,2025-03-27,15:38,Cafe Coffee Day,Food,Debit,2358,UPI,karthik@upi,Auto generated transaction
TXN00102,2025-03-28,14:33,DMart,Grocery,Debit,1297,UPI,karthik@upi,Auto generated transaction
TXN00103,2025-03-28,11:29,Flipkart,Shopping,Debit,91,UPI,karthik@upi,Auto generated transaction
TXN00104,2025-03-28,18:59,Amazon,Shopping,Debit,363,UPI,karthik@upi,Auto generated transaction
TXN00105,2025-03-29,18:42,Flipkart,Shopping,Debit,2425,UPI,karthik@upi,Auto generated transaction
TXN00106,2025-03-29,23:36,Ola,Travel,Debit,1478,UPI,karthik@upi,Auto generated transaction
TXN00107,2025-03-30,20:15,Ola,Travel,Debit,1078,UPI,karthik@upi,Auto generated transaction
TXN00108,2025-03-30,9:25,Amazon,Shopping,Debit,1332,UPI,karthik@upi,Auto generated transaction
TXN00109,2025-03-30,15:10,Inox Movies,Entertainment,Debit,740,UPI,karthik@upi,Auto generated transaction
TXN00110,2025-03-31,21:30,Flipkart,Shopping,Debit,824,UPI,karthik@upi,Auto generated transaction
TXN00111,2025-03-31,17:55,Cafe Coffee Day,Food,Debit,1300,UPI,karthik@upi,Auto generated transaction
TXN00112,2025-03-31,21:15,DMart,Grocery,Debit,1708,UPI,karthik@upi,Auto generated transaction
TXN00113,2025-04-01,12:09,DMart,Grocery,Debit,2408,UPI,karthik@upi,Auto generated transaction
TXN00114,2025-04-01,12:35,Zomato,Food,Debit,1674,UPI,karthik@upi,Auto generated transaction
TXN00115,2025-04-01,23:52,Ola,Travel,Debit,1340,UPI,karthik@upi,Auto generated transaction
TXN00116,2025-04-02,23:29,DMart,Grocery,Debit,2193,UPI,karthik@upi,Auto generated transaction
TXN00117,2025-04-02,18:42,Cafe Coffee Day,Food,Debit,1023,UPI,karthik@upi,Auto generated transaction
TXN00118,2025-04-02,7:49,Uber,Travel,Debit,1298,UPI,karthik@upi,Auto generated transaction
TXN00119,2025-04-03,9:17,DMart,Grocery,Debit,1733,UPI,karthik@upi,Auto generated transaction
TXN00120,2025-04-03,17:38,Blinkit,Grocery,Debit,1108,UPI,karthik@upi,Auto generated transaction
TXN00121,2025-04-03,17:41,Google Pay Rewards,Credit,Credit,36,UPI,karthik@upi,Auto generated transaction
TXN00122,2025-04-03,17:41,Cafe Coffee Day,Food,Debit,302,UPI,karthik@upi,Auto generated transaction
TXN00123,2025-04-04,23:56,Blinkit,Grocery,Debit,1589,UPI,karthik@upi,Auto generated transaction
TXN00124,2025-04-04,17:24,HP Petrol Pump,Fuel,Debit,1216,UPI,karthik@upi,Auto generated transaction
TXN00125,2025-04-04,13:54,Cafe Coffee Day,Food,Debit,2436,UPI,karthik@upi,Auto generated transaction
TXN00126,2025-04-04,9:51,Google Pay Rewards,Credit,Credit,58,UPI,karthik@upi,Auto generated transaction
TXN00127,2025-04-05,9:40,HP Petrol Pump,Fuel,Debit,568,UPI,karthik@upi,Auto generated transaction
TXN00128,2025-04-05,11:54,HP Petrol Pump,Fuel,Debit,1092,UPI,karthik@upi,Auto generated transaction
TXN00129,2025-04-05,21:01,Hyderabad Metro,Travel,Debit,1837,UPI,karthik@upi,Auto generated transaction
TXN00130,2025-04-05,10:34,HP Petrol Pump,Fuel,Debit,688,UPI,karthik@upi,Auto generated transaction
TXN00131,2025-04-06,7:49,Amazon,Shopping,Debit,399,UPI,karthik@upi,Auto generated transaction
TXN00132,2025-04-06,17:30,Zomato,Food,Debit,412,UPI,karthik@upi,Auto generated transaction
TXN00133,2025-04-06,20:14,Cafe Coffee Day,Food,Debit,1933,UPI,karthik@upi,Auto generated transaction
TXN00134,2025-04-06,17:00,Hyderabad Metro,Travel,Debit,1203,UPI,karthik@upi,Auto generated transaction
TXN00135,2025-04-07,14:51,Google Pay Rewards,Credit,Credit,5,UPI,karthik@upi,Auto generated transaction
TXN00136,2025-04-07,12:45,Flipkart,Shopping,Debit,359,UPI,karthik@upi,Auto generated transaction
TXN00137,2025-04-07,7:07,Swiggy,Food,Debit,2484,UPI,karthik@upi,Auto generated transaction
TXN00138,2025-04-08,21:22,Hyderabad Metro,Travel,Debit,385,UPI,karthik@upi,Auto generated transaction
TXN00139,2025-04-08,16:15,Uber,Travel,Debit,708,UPI,karthik@upi,Auto generated transaction
TXN00140,2025-04-08,16:32,Blinkit,Grocery,Debit,1670,UPI,karthik@upi,Auto generated transaction
TXN00141,2025-04-09,18:42,Flipkart,Shopping,Debit,2058,UPI,karthik@upi,Auto generated transaction
TXN00142,2025-04-09,8:53,Zomato,Food,Debit,1938,UPI,karthik@upi,Auto generated transaction
TXN00143,2025-04-09,8:41,Uber,Travel,Debit,2046,UPI,karthik@upi,Auto generated transaction
TXN00144,2025-04-10,16:43,Zomato,Food,Debit,1047,UPI,karthik@upi,Auto generated transaction
TXN00145,2025-04-10,16:32,Amazon,Shopping,Debit,2338,UPI,karthik@upi,Auto generated transaction
TXN00146,2025-04-10,16:24,Blinkit,Grocery,Debit,1470,UPI,karthik@upi,Auto generated transaction
TXN00147,2025-04-10,15:44,Inox Movies,Entertainment,Debit,1924,UPI,karthik@upi,Auto generated transaction
TXN00148,2025-04-11,17:14,Flipkart,Shopping,Debit,2211,UPI,karthik@upi,Auto generated transaction
TXN00149,2025-04-11,23:18,Amazon,Shopping,Debit,216,UPI,karthik@upi,Auto generated transaction
TXN00150,2025-04-11,20:53,Swiggy,Food,Debit,95,UPI,karthik@upi,Auto generated transaction
TXN00151,2025-04-12,17:37,Hyderabad Metro,Travel,Debit,126,UPI,karthik@upi,Auto generated transaction
TXN00152,2025-04-12,23:32,Ola,Travel,Debit,1259,UPI,karthik@upi,Auto generated transaction
TXN00153,2025-04-12,13:04,Inox Movies,Entertainment,Debit,1275,UPI,karthik@upi,Auto generated transaction
TXN00154,2025-04-13,13:21,Ola,Travel,Debit,1554,UPI,karthik@upi,Auto generated transaction
TXN00155,2025-04-13,10:16,DMart,Grocery,Debit,74,UPI,karthik@upi,Auto generated transaction
TXN00156,2025-04-13,22:30,Inox Movies,Entertainment,Debit,1311,UPI,karthik@upi,Auto generated transaction
TXN00157,2025-04-13,19:50,Google Pay Rewards,Credit,Credit,16,UPI,karthik@upi,Auto generated transaction
TXN00158,2025-04-14,10:49,DMart,Grocery,Debit,1986,UPI,karthik@upi,Auto generated transaction
TXN00159,2025-04-14,21:00,Amazon,Shopping,Debit,1125,UPI,karthik@upi,Auto generated transaction
TXN00160,2025-04-14,20:01,Zomato,Food,Debit,1088,UPI,karthik@upi,Auto generated transaction
TXN00161,2025-04-15,18:12,Ola,Travel,Debit,361,UPI,karthik@upi,Auto generated transaction
TXN00162,2025-04-15,19:19,Google Pay Rewards,Credit,Credit,26,UPI,karthik@upi,Auto generated transaction
TXN00163,2025-04-15,9:42,HP Petrol Pump,Fuel,Debit,1325,UPI,karthik@upi,Auto generated transaction
TXN00164,2025-04-15,21:27,Amazon,Shopping,Debit,1131,UPI,karthik@upi,Auto generated transaction
TXN00165,2025-04-16,21:22,Google Pay Rewards,Credit,Credit,13,UPI,karthik@upi,Auto generated transaction
TXN00166,2025-04-16,17:33,HP Petrol Pump,Fuel,Debit,379,UPI,karthik@upi,Auto generated transaction
TXN00167,2025-04-16,11:28,HP Petrol Pump,Fuel,Debit,1350,UPI,karthik@upi,Auto generated transaction
TXN00168,2025-04-17,9:41,Ola,Travel,Debit,583,UPI,karthik@upi,Auto generated transaction
TXN00169,2025-04-17,14:31,HP Petrol Pump,Fuel,Debit,557,UPI,karthik@upi,Auto generated transaction
TXN00170,2025-04-17,10:19,Swiggy,Food,Debit,2345,UPI,karthik@upi,Auto generated transaction
TXN00171,2025-04-18,10:12,DMart,Grocery,Debit,2461,UPI,karthik@upi,Auto generated transaction
TXN00172,2025-04-18,7:15,Blinkit,Grocery,Debit,2393,UPI,karthik@upi,Auto generated transaction
TXN00173,2025-04-18,10:51,Ola,Travel,Debit,2099,UPI,karthik@upi,Auto generated transaction
TXN00174,2025-04-18,19:43,Blinkit,Grocery,Debit,2493,UPI,karthik@upi,Auto generated transaction
TXN00175,2025-04-19,7:18,Hyderabad Metro,Travel,Debit,287,UPI,karthik@upi,Auto generated transaction
TXN00176,2025-04-19,23:06,Inox Movies,Entertainment,Debit,1915,UPI,karthik@upi,Auto generated transaction
TXN00177,2025-04-19,9:29,Cafe Coffee Day,Food,Debit,390,UPI,karthik@upi,Auto generated transaction
TXN00178,2025-04-19,18:33,Swiggy,Food,Debit,526,UPI,karthik@upi,Auto generated transaction
TXN00179,2025-04-20,11:55,Flipkart,Shopping,Debit,2186,UPI,karthik@upi,Auto generated transaction
TXN00180,2025-04-20,23:48,Uber,Travel,Debit,2087,UPI,karthik@upi,Auto generated transaction
TXN00181,2025-04-21,10:05,Cafe Coffee Day,Food,Debit,1585,UPI,karthik@upi,Auto generated transaction
TXN00182,2025-04-21,18:59,Amazon,Shopping,Debit,584,UPI,karthik@upi,Auto generated transaction
TXN00183,2025-04-22,7:53,Flipkart,Shopping,Debit,1902,UPI,karthik@upi,Auto generated transaction
TXN00184,2025-04-22,23:25,Zomato,Food,Debit,1322,UPI,karthik@upi,Auto generated transaction
TXN00185,2025-04-22,8:53,Blinkit,Grocery,Debit,856,UPI,karthik@upi,Auto generated transaction
TXN00186,2025-04-22,11:09,Inox Movies,Entertainment,Debit,688,UPI,karthik@upi,Auto generated transaction
TXN00187,2025-04-23,14:35,HP Petrol Pump,Fuel,Debit,1519,UPI,karthik@upi,Auto generated transaction
TXN00188,2025-04-23,15:09,Swiggy,Food,Debit,1627,UPI,karthik@upi,Auto generated transaction
TXN00189,2025-04-24,23:23,Cafe Coffee Day,Food,Debit,1712,UPI,karthik@upi,Auto generated transaction
TXN00190,2025-04-24,18:02,Inox Movies,Entertainment,Debit,1362,UPI,karthik@upi,Auto generated transaction
TXN00191,2025-04-25,7:28,Google Pay Rewards,Credit,Credit,31,UPI,karthik@upi,Auto generated transaction
TXN00192,2025-04-25,15:24,Flipkart,Shopping,Debit,2384,UPI,karthik@upi,Auto generated transaction
TXN00193,2025-04-25,7:30,Uber,Travel,Debit,1923,UPI,karthik@upi,Auto generated transaction
TXN00194,2025-04-25,11:05,Hyderabad Metro,Travel,Debit,1663,UPI,karthik@upi,Auto generated transaction
TXN00195,2025-04-26,13:48,Uber,Travel,Debit,1783,UPI,karthik@upi,Auto generated transaction
TXN00196,2025-04-26,21:31,Zomato,Food,Debit,2005,UPI,karthik@upi,Auto generated transaction
TXN00197,2025-04-27,16:30,Zomato,Food,Debit,2125,UPI,karthik@upi,Auto generated transaction
TXN00198,2025-04-27,20:51,Google Pay Rewards,Credit,Credit,17,UPI,karthik@upi,Auto generated transaction
TXN00199,2025-04-27,14:39,Google Pay Rewards,Credit,Credit,12,UPI,karthik@upi,Auto generated transaction
TXN00200,2025-04-28,7:18,Hyderabad Metro,Travel,Debit,332,UPI,karthik@upi,Auto generated transaction
TXN00201,2025-04-28,8:31,Cafe Coffee Day,Food,Debit,633,UPI,karthik@upi,Auto generated transaction
TXN00202,2025-04-29,11:24,HP Petrol Pump,Fuel,Debit,601,UPI,karthik@upi,Auto generated transaction
TXN00203,2025-04-29,8:10,Uber,Travel,Debit,1331,UPI,karthik@upi,Auto generated transaction
TXN00204,2025-04-29,13:22,HP Petrol Pump,Fuel,Debit,1187,UPI,karthik@upi,Auto generated transaction
TXN00205,2025-04-29,19:42,Hyderabad Metro,Travel,Debit,392,UPI,karthik@upi,Auto generated transaction
TXN00206,2025-04-30,9:16,HP Petrol Pump,Fuel,Debit,2265,UPI,karthik@upi,Auto generated transaction
TXN00207,2025-04-30,19:54,Inox Movies,Entertainment,Debit,1365,UPI,karthik@upi,Auto generated transaction
TXN00208,2025-04-30,14:12,Blinkit,Grocery,Debit,1592,UPI,karthik@upi,Auto generated transaction
TXN00209,2025-04-30,14:36,Blinkit,Grocery,Debit,1191,UPI,karthik@upi,Auto generated transaction
TXN00210,2025-05-01,23:31,Ola,Travel,Debit,1771,UPI,karthik@upi,Auto generated transaction
TXN00211,2025-05-01,14:06,Cafe Coffee Day,Food,Debit,2099,UPI,karthik@upi,Auto generated transaction
TXN00212,2025-05-01,16:12,Flipkart,Shopping,Debit,1143,UPI,karthik@upi,Auto generated transaction
TXN00213,2025-05-01,22:55,Amazon,Shopping,Debit,122,UPI,karthik@upi,Auto generated transaction
TXN00214,2025-05-02,16:04,Amazon,Shopping,Debit,1082,UPI,karthik@upi,Auto generated transaction
TXN00215,2025-05-02,12:12,DMart,Grocery,Debit,1383,UPI,karthik@upi,Auto generated transaction
TXN00216,2025-05-02,18:08,Hyderabad Metro,Travel,Debit,411,UPI,karthik@upi,Auto generated transaction
TXN00217,2025-05-03,22:38,Hyderabad Metro,Travel,Debit,1977,UPI,karthik@upi,Auto generated transaction
TXN00218,2025-05-03,17:18,Cafe Coffee Day,Food,Debit,1724,UPI,karthik@upi,Auto generated transaction
TXN00219,2025-05-04,18:42,Zomato,Food,Debit,2148,UPI,karthik@upi,Auto generated transaction
TXN00220,2025-05-04,18:26,Hyderabad Metro,Travel,Debit,1989,UPI,karthik@upi,Auto generated transaction
TXN00221,2025-05-04,20:25,Swiggy,Food,Debit,2384,UPI,karthik@upi,Auto generated transaction
TXN00222,2025-05-05,9:15,Swiggy,Food,Debit,2401,UPI,karthik@upi,Auto generated transaction
TXN00223,2025-05-05,21:53,Swiggy,Food,Debit,1640,UPI,karthik@upi,Auto generated transaction
TXN00224,2025-05-06,11:48,HP Petrol Pump,Fuel,Debit,1684,UPI,karthik@upi,Auto generated transaction
TXN00225,2025-05-06,21:38,Swiggy,Food,Debit,1149,UPI,karthik@upi,Auto generated transaction
TXN00226,2025-05-06,21:02,Amazon,Shopping,Debit,1608,UPI,karthik@upi,Auto generated transaction
TXN00227,2025-05-06,19:24,Inox Movies,Entertainment,Debit,758,UPI,karthik@upi,Auto generated transaction
TXN00228,2025-05-07,23:18,Zomato,Food,Debit,2453,UPI,karthik@upi,Auto generated transaction
TXN00229,2025-05-07,7:51,Inox Movies,Entertainment,Debit,2137,UPI,karthik@upi,Auto generated transaction
TXN00230,2025-05-08,23:13,Hyderabad Metro,Travel,Debit,888,UPI,karthik@upi,Auto generated transaction
TXN00231,2025-05-08,16:47,Hyderabad Metro,Travel,Debit,865,UPI,karthik@upi,Auto generated transaction
TXN00232,2025-05-08,19:23,Flipkart,Shopping,Debit,82,UPI,karthik@upi,Auto generated transaction
TXN00233,2025-05-09,18:10,Zomato,Food,Debit,390,UPI,karthik@upi,Auto generated transaction
TXN00234,2025-05-09,16:25,DMart,Grocery,Debit,1800,UPI,karthik@upi,Auto generated transaction
TXN00235,2025-05-09,8:26,DMart,Grocery,Debit,1570,UPI,karthik@upi,Auto generated transaction
TXN00236,2025-05-09,18:00,Uber,Travel,Debit,623,UPI,karthik@upi,Auto generated transaction
TXN00237,2025-05-10,18:14,Inox Movies,Entertainment,Debit,76,UPI,karthik@upi,Auto generated transaction
TXN00238,2025-05-10,7:49,Flipkart,Shopping,Debit,2022,UPI,karthik@upi,Auto generated transaction
TXN00239,2025-05-11,10:20,Blinkit,Grocery,Debit,1911,UPI,karthik@upi,Auto generated transaction
TXN00240,2025-05-11,15:47,Flipkart,Shopping,Debit,2385,UPI,karthik@upi,Auto generated transaction
TXN00241,2025-05-11,19:21,Hyderabad Metro,Travel,Debit,255,UPI,karthik@upi,Auto generated transaction
TXN00242,2025-05-11,11:53,Cafe Coffee Day,Food,Debit,502,UPI,karthik@upi,Auto generated transaction
TXN00243,2025-05-12,16:30,HP Petrol Pump,Fuel,Debit,146,UPI,karthik@upi,Auto generated transaction
TXN00244,2025-05-12,13:24,Google Pay Rewards,Credit,Credit,42,UPI,karthik@upi,Auto generated transaction
TXN00245,2025-05-12,13:04,Flipkart,Shopping,Debit,460,UPI,karthik@upi,Auto generated transaction
TXN00246,2025-05-12,16:55,Cafe Coffee Day,Food,Debit,2446,UPI,karthik@upi,Auto generated transaction
TXN00247,2025-05-13,19:15,Amazon,Shopping,Debit,1731,UPI,karthik@upi,Auto generated transaction
TXN00248,2025-05-13,16:03,DMart,Grocery,Debit,110,UPI,karthik@upi,Auto generated transaction
TXN00249,2025-05-13,9:39,Zomato,Food,Debit,2094,UPI,karthik@upi,Auto generated transaction
TXN00250,2025-05-13,7:55,Amazon,Shopping,Debit,2388,UPI,karthik@upi,Auto generated transaction
TXN00251,2025-05-14,8:14,Hyderabad Metro,Travel,Debit,1077,UPI,karthik@upi,Auto generated transaction
TXN00252,2025-05-14,14:50,Zomato,Food,Debit,2097,UPI,karthik@upi,Auto generated transaction
TXN00253,2025-05-14,10:06,Cafe Coffee Day,Food,Debit,233,UPI,karthik@upi,Auto generated transaction
